datetime,Credit,,Total,2120
30/4/2025 13:35,25,,,
30/4/2025 13:43,25,,,
30/4/2025 13:47,25,,,
30/4/2025 13:47,25,,,
30/4/2025 13:49,25,,,
30/4/2025 13:49,25,,,
30/4/2025 13:50,25,,,
30/4/2025 13:51,25,,,
30/4/2025 13:52,25,,,
30/4/2025 13:54,25,,,
30/4/2025 14:00,25,,,
30/4/2025 14:00,25,,,
30/4/2025 14:00,25,,,
30/4/2025 14:02,30,,,
30/4/2025 14:03,30,,,
30/4/2025 14:06,25,,,
30/4/2025 14:07,25,,,
30/4/2025 14:07,25,,,
30/4/2025 14:08,30,,,
30/4/2025 14:12,25,,,
30/4/2025 14:13,25,,,
30/4/2025 14:15,30,,,
30/4/2025 14:16,25,,,
30/4/2025 14:17,30,,,
30/4/2025 14:18,55,,,
30/4/2025 14:23,25,,,
30/4/2025 14:25,30,,,
30/4/2025 14:25,25,,,
30/4/2025 14:26,25,,,
30/4/2025 14:27,25,,,
30/4/2025 14:29,25,,,
30/4/2025 14:31,25,,,
30/4/2025 14:35,25,,,
30/4/2025 14:38,30,,,
30/4/2025 14:38,30,,,
30/4/2025 14:39,25,,,
30/4/2025 14:40,25,,,
30/4/2025 14:44,30,,,
30/4/2025 14:46,25,,,
30/4/2025 14:47,25,,,
30/4/2025 14:49,25,,,
30/4/2025 14:51,30,,,
30/4/2025 14:55,25,,,
30/4/2025 14:57,25,,,
30/4/2025 15:00,25,,,
30/4/2025 15:02,25,,,
30/4/2025 15:05,25,,,
30/4/2025 15:06,25,,,
30/4/2025 15:06,25,,,
30/4/2025 15:12,25,,,
30/4/2025 15:16,25,,,
30/4/2025 15:22,25,,,
30/4/2025 15:23,25,,,
30/4/2025 15:25,25,,,
30/4/2025 15:27,25,,,
30/4/2025 15:30,25,,,
30/4/2025 15:30,25,,,
30/4/2025 15:30,25,,,
30/4/2025 15:31,50,,,
30/4/2025 15:31,60,,,
30/4/2025 15:36,25,,,
30/4/2025 15:36,30,,,
30/4/2025 15:43,25,,,
30/4/2025 15:49,25,,,
30/4/2025 15:50,25,,,
30/4/2025 15:55,25,,,
30/4/2025 15:55,25,,,
30/4/2025 15:57,25,,,
30/4/2025 15:58,25,,,
30/4/2025 16:00,25,,,
30/4/2025 16:00,25,,,
30/4/2025 16:05,25,,,
30/4/2025 16:09,25,,,
30/4/2025 16:09,25,,,
30/4/2025 16:12,25,,,
30/4/2025 16:12,25,,,
30/4/2025 16:19,25,,,
30/4/2025 16:20,25,,,
30/4/2025 16:20,25,,,
