datetime,Credit,taste
2025-04-30 13:30:00,25,strawberry
2025-04-30 13:35:00,25,blue hawaii
2025-04-30 13:43:00,25,green apple
2025-04-30 13:47:00,25,blue hawaii
2025-04-30 13:47:00,25,blue hawaii
2025-04-30 13:49:00,25,blue hawaii
2025-04-30 13:49:00,25,strawberry
2025-04-30 13:50:00,25,green apple
2025-04-30 13:51:00,25,mixed
2025-04-30 13:52:00,25,mixed
2025-04-30 13:54:00,25,punch
2025-04-30 14:00:00,25,blue hawaii
2025-04-30 14:00:00,25,strawberry
2025-04-30 14:00:00,25,blue hawaii
2025-04-30 14:02:00,30,blue hawaii
2025-04-30 14:03:00,30,green apple
2025-04-30 14:06:00,25,punch
2025-04-30 14:07:00,25,blue hawaii
2025-04-30 14:07:00,25,strawberry
2025-04-30 14:08:00,30,blue hawaii
2025-04-30 14:12:00,25,punch
2025-04-30 14:13:00,25,lychee
2025-04-30 14:15:00,30,orange
2025-04-30 14:16:00,25,orange
2025-04-30 14:17:00,30,green apple
2025-04-30 14:18:00,55,mixed
2025-04-30 14:23:00,25,lychee
2025-04-30 14:25:00,30,green apple
2025-04-30 14:25:00,25,green apple
2025-04-30 14:26:00,25,blue hawaii
2025-04-30 14:27:00,25,strawberry
2025-04-30 14:29:00,25,strawberry
2025-04-30 14:31:00,25,lychee
2025-04-30 14:35:00,25,punch
2025-04-30 14:38:00,30,green apple
2025-04-30 14:38:00,30,lychee
2025-04-30 14:39:00,25,green apple
2025-04-30 14:40:00,25,blue hawaii
2025-04-30 14:44:00,30,blue hawaii
2025-04-30 14:46:00,25,lychee
2025-04-30 14:47:00,25,strawberry
2025-04-30 14:49:00,25,punch
2025-04-30 14:51:00,30,strawberry
2025-04-30 14:55:00,25,mixed
2025-04-30 14:57:00,25,strawberry
2025-04-30 15:00:00,25,orange
2025-04-30 15:02:00,25,mixed
2025-04-30 15:05:00,25,punch
2025-04-30 15:06:00,25,orange
2025-04-30 15:06:00,25,mixed
2025-04-30 15:12:00,25,mixed
2025-04-30 15:16:00,25,blue hawaii
2025-04-30 15:22:00,25,orange
2025-04-30 15:23:00,25,blue hawaii
2025-04-30 15:25:00,25,mixed
2025-04-30 15:27:00,25,lychee
2025-04-30 15:30:00,25,lychee
2025-04-30 15:30:00,25,mixed
2025-04-30 15:30:00,25,blue hawaii
2025-04-30 15:31:00,60,strawberry
2025-04-30 15:31:00,50,green apple
2025-04-30 15:36:00,30,mixed
2025-04-30 15:36:00,25,lychee
2025-04-30 15:43:00,25,punch
2025-04-30 15:49:00,25,mixed
2025-04-30 15:50:00,25,lychee
2025-04-30 15:55:00,25,lychee
2025-04-30 15:55:00,25,blue hawaii
2025-04-30 15:57:00,25,punch
2025-04-30 15:58:00,25,green apple
2025-04-30 16:00:00,25,lychee
2025-04-30 16:00:00,25,punch
2025-04-30 16:05:00,25,green apple
2025-04-30 16:09:00,25,green apple
2025-04-30 16:09:00,25,green apple
2025-04-30 16:12:00,25,green apple
2025-04-30 16:12:00,25,green apple
2025-04-30 16:19:00,25,punch
2025-04-30 16:20:00,25,mixed
2025-04-30 16:20:00,25,punch
